sampleid	well_position	project
Pv18_745_A	D-G09	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_746_A	D-H09	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_747_A	D-A10	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_748_A	D-B10	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_749_A	D-C10	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_750_A	D-D10	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_751_A	D-E10	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_752_A	D-F10	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_753_A	D-G10	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_754_A	D-H10	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_755_A	D-A11	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_756_A	D-B11	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_757_A	D-C11	HarborSealScat_HS_5-6_SPID.0185-0186
